stage,model,accuracy,macro_f1,log_loss,draw_recall
Final (Stage 10),ExtraTreesClassifier + sigmoid calibration,0.6024,0.4567,1.6411,0.024
Baseline (Stage 3),RandomForest,0.5853,0.5082,1.7432,
